Time (UTC),Sonic_x_clean_15m [m/s],Sonic_x_clean_41m [m/s],Sonic_x_clean_61m [m/s],Sonic_x_clean_74m [m/s],Sonic_x_clean_100m [m/s],Sonic_x_clean_119m [m/s],Sonic_y_clean_15m [m/s],Sonic_y_clean_41m [m/s],Sonic_y_clean_61m [m/s],Sonic_y_clean_74m [m/s],Sonic_y_clean_100m [m/s],Sonic_y_clean_119m [m/s],Sonic_z_clean_15m [m/s],Sonic_z_clean_41m [m/s],Sonic_z_clean_61m [m/s],Sonic_z_clean_74m [m/s],Sonic_z_clean_100m [m/s],Sonic_z_clean_119m [m/s],Sonic_Temp_clean_15m [K],Sonic_Temp_clean_41m [K],Sonic_Temp_clean_61m [K],Sonic_Temp_clean_74m [K],Sonic_Temp_clean_100m [K],Sonic_Temp_clean_119m [K],Dewpt_Temp_3m [°C],Dewpt_Temp_38m [°C],Dewpt_Temp_87m [°C],Dewpt_Temp_122m [°C],Baro_Presr_3m [hPa],Air_Temp_rec_3m [°C],Air_Temp_rec_38m [°C],Air_Temp_rec_87m [°C],Air_Temp_rec_122m [°C],Timestamp,Sonic_x_corr_15m [m/s],Sonic_y_corr_15m [m/s],Sonic_z_corr_15m [m/s],Sonic_u_rot_15m [m/s],Sonic_v_rot_15m [m/s],Sonic_w_rot_15m [m/s],Sonic_x_corr_41m [m/s],Sonic_y_corr_41m [m/s],Sonic_z_corr_41m [m/s],Sonic_u_rot_41m [m/s],Sonic_v_rot_41m [m/s],Sonic_w_rot_41m [m/s],Sonic_x_corr_61m [m/s],Sonic_y_corr_61m [m/s],Sonic_z_corr_61m [m/s],Sonic_u_rot_61m [m/s],Sonic_v_rot_61m [m/s],Sonic_w_rot_61m [m/s],Sonic_x_corr_74m [m/s],Sonic_y_corr_74m [m/s],Sonic_z_corr_74m [m/s],Sonic_u_rot_74m [m/s],Sonic_v_rot_74m [m/s],Sonic_w_rot_74m [m/s],Sonic_x_corr_100m [m/s],Sonic_y_corr_100m [m/s],Sonic_z_corr_100m [m/s],Sonic_u_rot_100m [m/s],Sonic_v_rot_100m [m/s],Sonic_w_rot_100m [m/s],Sonic_x_corr_119m [m/s],Sonic_y_corr_119m [m/s],Sonic_z_corr_119m [m/s],Sonic_u_rot_119m [m/s],Sonic_v_rot_119m [m/s],Sonic_w_rot_119m [m/s],Sonic_WS_15m [m/s],Sonic_WD_15m [deg],Sonic_WS_41m [m/s],Sonic_WD_41m [deg],Sonic_WS_61m [m/s],Sonic_WD_61m [deg],Sonic_WS_74m [m/s],Sonic_WD_74m [deg],Sonic_WS_100m [m/s],Sonic_WD_100m [deg],Sonic_WS_119m [m/s],Sonic_WD_119m [deg],Sonic_uu_rot_15m [m^2/s^2],Sonic_vv_rot_15m [m^2/s^2],Sonic_ww_rot_15m [m^2/s^2],Sonic_uv_rot_15m [m^2/s^2],Sonic_uw_rot_15m [m^2/s^2],Sonic_vw_rot_15m [m^2/s^2],Sonic_wT_rot_15m [mK/s],Sonic_u_star_15m [m/s],Sonic_TKE_15m [m^2/s^2],Sonic_uu_rot_41m [m^2/s^2],Sonic_vv_rot_41m [m^2/s^2],Sonic_ww_rot_41m [m^2/s^2],Sonic_uv_rot_41m [m^2/s^2],Sonic_uw_rot_41m [m^2/s^2],Sonic_vw_rot_41m [m^2/s^2],Sonic_wT_rot_41m [mK/s],Sonic_u_star_41m [m/s],Sonic_TKE_41m [m^2/s^2],Sonic_uu_rot_61m [m^2/s^2],Sonic_vv_rot_61m [m^2/s^2],Sonic_ww_rot_61m [m^2/s^2],Sonic_uv_rot_61m [m^2/s^2],Sonic_uw_rot_61m [m^2/s^2],Sonic_vw_rot_61m [m^2/s^2],Sonic_wT_rot_61m [mK/s],Sonic_u_star_61m [m/s],Sonic_TKE_61m [m^2/s^2],Sonic_uu_rot_74m [m^2/s^2],Sonic_vv_rot_74m [m^2/s^2],Sonic_ww_rot_74m [m^2/s^2],Sonic_uv_rot_74m [m^2/s^2],Sonic_uw_rot_74m [m^2/s^2],Sonic_vw_rot_74m [m^2/s^2],Sonic_wT_rot_74m [mK/s],Sonic_u_star_74m [m/s],Sonic_TKE_74m [m^2/s^2],Sonic_uu_rot_100m [m^2/s^2],Sonic_vv_rot_100m [m^2/s^2],Sonic_ww_rot_100m [m^2/s^2],Sonic_uv_rot_100m [m^2/s^2],Sonic_uw_rot_100m [m^2/s^2],Sonic_vw_rot_100m [m^2/s^2],Sonic_wT_rot_100m [mK/s],Sonic_u_star_100m [m/s],Sonic_TKE_100m [m^2/s^2],Sonic_uu_rot_119m [m^2/s^2],Sonic_vv_rot_119m [m^2/s^2],Sonic_ww_rot_119m [m^2/s^2],Sonic_uv_rot_119m [m^2/s^2],Sonic_uw_rot_119m [m^2/s^2],Sonic_vw_rot_119m [m^2/s^2],Sonic_wT_rot_119m [mK/s],Sonic_u_star_119m [m/s],Sonic_TKE_119m [m^2/s^2],Virt_Temp_3m [°C],Potz_Virt_Temp_3m [°C],Virt_Temp_38m [°C],Potz_Virt_Temp_38m [°C],Virt_Temp_87m [°C],Potz_Virt_Temp_87m [°C],Virt_Temp_122m [°C],Potz_Virt_Temp_122m [°C],Ri,Shear exponent,L_15m [m],L_41m [m],L_61m [m],L_74m [m],L_100m [m],L_119m [m]
2022-06-09 02:24:08.035001088,,,3.77353208773355,3.694150284321689,,3.6261787164906574,,-5.121225832656379,-5.397215272136474,-5.712264012997564,,-6.766307879772544,,-0.2522883834281062,-0.16439073923639344,-0.23284809098294046,,-0.3887140536149471,,12.250021933387492,20.094095857026808,20.31634077985378,,21.971583265637694,2.855748565709295,5.364542468208483,5.702912603517972,5.414230271275382,816.9715623679338,19.438176694148524,19.989336772878048,19.64126832603681,19.336601909005758,1654741448.035001,,,,,,,,,,,,,3.7891599634612008,-5.388350023160278,-0.032594002184459105,6.587264166616417,3.564835041473906e-15,-0.032594002184459105,3.7048004073308576,-5.709964479419676,-0.036254947244228584,6.806558632260013,1.9024767319783025e-15,-0.036254947244228584,,,,,,,3.6379717658959088,-6.770928038224732,-0.030536046516397002,7.686371385008249,-3.791100478044141e-15,-0.030536046516397002,,,,,6.587264166616416,324.8845994717277,6.806558632260013,327.02325383350103,,,7.686371385008249,331.75117605835555,,,,,,,,,,,,,,,,,,,0.24209077623106376,0.1751883397355645,0.10217927110877881,-0.05738691182877772,-0.03864404397745229,0.0263553745105102,-0.006075450090560957,0.21627695007602823,0.2597291935377035,0.22096567477393392,0.17905924221478256,0.11018570932011286,-0.05933909839729614,-0.045048263749727126,0.02296148436547348,-0.004144372547167892,0.22486127545715667,0.25510531315441465,,,,,,,,,,0.14748094266548625,0.1322432005731644,0.07003769944437135,-0.06168862992628808,-0.03910386574446786,0.034521705541342346,-0.003482067184074582,0.22838972823978965,0.174880921341511,293.6076961764178,311.0560748192259,294.36285024764436,312.2211212128057,294.0496378272812,312.402629837271,293.72380670283826,312.42534056189754,0.10430803199258368,0.23563012168391012,,,129.17860123819176,212.82544321073615,,265.4183117740781
2022-06-09 02:34:11.965008128,,,4.049302135719287,3.9852643462453785,,3.788196513313431,,-4.914252897107519,-5.258881196581197,-5.651631717742861,,-6.6278918345047275,,,-0.1423523720281535,-0.23349317322027563,,-0.3973325386089868,,,20.070870042624634,20.30797526909294,,21.96290512660243,3.053006169785794,5.3566268126767005,5.673520252020469,5.373418346639659,816.8801621178811,18.79535115313066,19.891968882706205,19.574745243118546,19.27618500066608,1654742051.965008,,,,,,,,,,,,,4.062150608791741,-5.250857153045093,0.014765724213587727,6.638717376887792,4.2948360917054945e-15,0.014765724213587727,3.99529580052153,-5.649328843971111,-0.017285638943677125,6.919342809905357,-2.5263741715914673e-16,-0.017285638943677125,,,,,,,3.8003277250690286,-6.6326405730125915,-0.030128806222112815,7.64424043242369,-2.856746178645736e-15,-0.030128806222112815,,,,,6.638717376887793,322.27386649735786,6.919342809905356,324.73143832367697,,,7.644240432423691,330.1884313710999,,,,,,,,,,,,,,,,,,,0.1814582400015248,0.25598273513363606,0.06780408678939462,-0.07793079548961186,-0.0299753505949497,0.029142369995074153,-0.004655317518232433,0.20446684454898625,0.25262253096227777,0.14972615519991983,0.20685922797728046,0.07021310096818309,-0.07554598403542513,-0.03227182111577503,0.022518002795784253,-0.004563803588092939,0.19837181555450167,0.21339924207269167,,,,,,,,,,0.15397524958481432,0.21115562632438667,0.062491895254378094,-0.06728678512431371,-0.0257393634633084,0.022492663213143037,-0.0027336985384770387,0.18488476019018035,0.21381138558178955,292.9770928063393,310.3979135284143,294.2645501983696,312.1276371106372,293.98043283815326,312.3410342081815,293.65980324182993,312.37001562413093,0.12638743192205376,0.21079951431332508,,,142.34931056577574,132.6016567738885,,179.22092469822496
2022-06-09 02:44:14.129987072,,,4.251519447622161,4.136452851773167,,4.068474423925478,,,-4.388962248733453,-4.626000980552378,,-5.574057852590293,,-0.21929432244242142,-0.13291877757803566,-0.22282317372119603,,-0.3911268181075335,,12.193390912337085,20.041186468377184,20.25595440431443,,21.89337800294166,3.3826795104629865,5.322366489044578,5.638053797521741,5.359754078860961,816.9671065894876,17.797506048363925,19.89413356882162,19.55506573110363,19.250879215118097,1654742654.129987,,,,,,,,,,,,,4.2608514812003575,-4.381779368117032,0.06918609549667346,6.111861073004143,2.0344351577899912e-15,0.06918609549667346,4.144862019085077,-4.623833756770937,0.012379063243191034,6.20964731426097,2.0994627655732328e-15,0.012379063243191034,,,,,,,4.080510060436207,-5.5788185563479376,-0.01929849123743792,6.911857842720233,-4.505484253553176e-16,-0.01929849123743792,,,,,6.111861073004144,315.8016315359398,6.209647314260968,318.1265555243193,,,6.911857842720233,323.81717736568817,,,,,,,,,,,,,,,,,,,0.26453420470590533,0.3526889844281496,0.1475956809995547,-0.07675973724006512,-0.023978524137486426,0.06132115609528451,-0.0097824623953901,0.2565982156438025,0.3824094350668048,0.28207546056419674,0.32033842916958816,0.14488488176739583,-0.07705996025904749,-0.0519047582510671,0.05310270790337961,-0.008791064696571201,0.27250013407209095,0.37364938575059037,,,,,,,,,,0.28244803366280574,0.39352220425284645,0.16923520951964746,-0.09166164485589762,-0.06449354527880419,0.07678046680369312,-0.007176536406518377,0.31665898836660433,0.42260272371764984,291.99990497662236,309.35321839153823,294.2636992505155,312.1185079690579,293.9574904954099,312.3102098769742,293.6331469569343,312.3364973126779,0.14603895665497021,0.19189478828970635,,,133.77013765811654,178.28103624812564,,342.69441974066945
2022-06-09 02:54:37.400003072,,,4.244986081285294,4.163605123327868,,3.912167403336264,,-3.5404571187156737,-3.8223032425214627,-4.0792270976318195,,-4.897912080937946,,-0.2385081569836012,-0.2315237130335108,-0.2893501927408821,,-0.38703205698091425,,12.12936019204973,20.046988246462146,20.259477406210586,,21.90515682896425,3.4145152550173967,5.345314270430891,5.643998417143275,5.332115538986935,816.8743935507256,17.66361597681842,19.78895127058148,19.50795173414268,19.21965696575562,1654743277.400003,,,,,,,,,,,,,4.260252613089107,-3.8120601563059004,-0.010108977132838586,5.716778372704993,-2.5182362447681593e-15,-0.010108977132838586,4.175995772226313,-4.076489232994701,-0.04736565084732163,5.835812296190975,-2.3238302151002403e-15,-0.04736565084732163,,,,,,,3.924890789479474,-4.902678938463599,-0.03477802325951151,6.280209270637036,3.042680417825801e-15,-0.03477802325951151,,,,,5.716778372704991,311.8220758947875,5.835812296190974,314.3091743337088,,,6.280209270637036,321.32061744648996,,,,,,,,,,,,,,,,,,,0.21944608285834608,0.355942207369867,0.20428120171549666,-0.09213403587556984,-0.03679466398290092,0.06508445811890548,-0.018185193710892198,0.27343224452151293,0.38983474597185486,0.27629564865950906,0.39778118614319485,0.23182060509199173,-0.13063259120087603,-0.0369717716789454,0.05283058798011267,-0.013407757905524221,0.25393389572676894,0.45294871994734787,,,,,,,,,,0.40311189671989084,0.37794209330289547,0.18242739446634948,-0.11347986550252023,-0.051458411728170034,0.05204504354256716,-0.008334045073050907,0.2705349711449846,0.4817406922445679,291.86802170416604,309.2235191236302,294.16016911541504,312.0189780543925,293.9108398245299,312.27117717203225,293.5995727309285,312.31148969949584,0.22897376820018217,0.143271420601429,,,87.05134671835992,94.56928600137033,,183.97492604990015
2022-06-09 03:05:09.104999168,,,4.023996023856859,3.8734552317398214,,3.8119952485437407,,-2.802792128209501,-2.9362227837077866,-3.119361940466544,,-4.09898547052546,,,-0.1824663355147057,-0.1876984397805186,,-0.3509103065414499,,,20.109013810461672,20.316623221749595,,21.957373372631945,3.2551117953505724,5.27774698314598,5.621034359822969,5.302615028736476,817.0084764476118,17.692333474074605,19.863960341929374,19.542142046974835,19.269444947152866,1654743909.104999,,,,,,,,,,,,,4.033927447806139,-2.9281953005445027,0.05267356480534774,4.984666325070783,5.062793568517294e-16,0.05267356480534774,3.8792492839179182,-3.117567160434444,0.043580150824700424,4.976725831969947,-2.22401288902724e-15,0.043580150824700424,,,,,,,3.8232433413848153,-4.103338416489731,-0.016190487054793756,5.608437911547544,5.786049792591194e-16,-0.016190487054793756,,,,,4.9846663250707826,305.97559390762376,4.976725831969947,308.78717548967825,,,5.608437911547544,317.02377161122075,,,,,,,,,,,,,,,,,,,0.19348504859866836,0.45035063041507967,0.11548756269874047,-0.0166241909098568,-0.006311888965546792,0.07984425951425839,-0.00787271577053642,0.28300769649758645,0.3796616208562443,0.1912037825431364,0.5381561094801203,0.14489056788200805,-0.08845670622408126,-0.02410989575482962,0.09949075876455886,-0.0069875842800563946,0.31995374174708574,0.43712522995263237,,,,,,,,,,0.43355379059595295,0.45953833184022114,0.1713820359147858,-0.2622243044319022,-0.10133146982505759,0.06828868030536991,-0.01209057816395522,0.3495628003569743,0.5322370791754799,291.88484290982547,309.2268466637126,294.2295580108606,312.07791654040034,293.94297349308187,312.2905948265979,293.6468431561896,312.34701047785165,0.19617477276275988,0.1906136304627025,,,222.97453454611596,363.01086198967425,,273.59846681902314
2022-06-09 03:15:45.109997056,,,4.1254405296222405,3.908618953108924,,3.5451973426176586,,,-2.7315260807426633,-2.944524993327287,,-3.775618653766532,,-0.2376689332530513,-0.24880211643666017,-0.2666065776661589,,-0.35422778912367203,,12.214061479366423,20.14517185100126,20.366523320124497,,22.011903364379236,3.1754347297764633,5.14145861333377,5.449756821299255,5.121417425345156,817.2218024591149,17.620323598102587,19.84395167441878,19.607693372086167,19.325684374441686,1654744545.109997,,,,,,,,,,,,,4.139522528320918,-2.7213351169772038,0.0011885455193397978,4.95391881053472,2.5118215546478726e-15,0.0011885455193397978,3.919405446119878,-2.942034597253639,-0.031298026974072364,4.9007455170118295,-2.3772596856488795e-15,-0.031298026974072364,,,,,,,3.557560416232058,-3.780045573271523,-0.041735492127991845,5.190855483554791,-2.422113641981877e-15,-0.041735492127991845,,,,,4.95391881053472,303.32104503492485,4.9007455170118295,306.89309785651415,,,5.190855483554792,316.73674575922587,,,,,,,,,,,,,,,,,,,0.14523624808618085,0.19035589716617393,0.0683627188392063,0.03972871876245142,0.009573141055257035,0.040057759727577184,-0.005682446282512648,0.20294281985826998,0.20197743204578056,0.13730712301275053,0.24609438210230067,0.08528059327795569,-0.0165778530730098,-0.013246038141760706,0.035953389155825556,-0.004461317954577581,0.1957443271450949,0.23434104919650345,,,,,,,,,,0.23657277688795889,0.3079595813446045,0.11322661486349975,-0.004561057127077562,-0.01016687727394248,0.06683915328851894,-0.005859767793232992,0.2600153292915765,0.32887948654803156,291.8064380039366,309.1207360846964,294.1976644641867,312.0209166308327,293.99368178410555,312.3214043845708,293.6876040074751,312.36739365138516,0.24141876801678627,0.0795656339923084,,,113.90212302797464,130.18185753690827,,232.30712923245312
2022-06-09 03:26:51.144989952,,,4.275360690205177,4.043323787428406,,3.315794968462263,,-2.2698426738200537,-2.557421880664105,-2.8100525628942217,,-3.2158250561879216,,-0.2805350540129051,-0.2603229899224244,-0.2678170086275647,,-0.30703835278764596,,12.081065757993185,20.158149786123396,,,22.066199521496408,2.8751121764964687,5.091343711389076,5.334733429024416,4.994802343460755,817.150899763455,18.17366940215837,19.668708524823256,19.60841058792865,19.271094216128354,1654745211.14499,,,,,,,,,,,,,4.289435011289895,-2.5469373935459214,0.006910352239705366,4.98860128720687,-2.3078601146996654e-16,0.006910352239705366,4.053821678869993,-2.8075567198265206,-0.02248502892059922,4.9311099094544,-1.3517466386098042e-15,-0.02248502892059922,,,,,,,3.3260156182513003,-3.219667380767702,-0.017560050993490582,4.629107682440659,1.4341702141347923e-15,-0.017560050993490582,,,,,4.98860128720687,300.7005654990602,4.9311099094544,304.7053257237502,,,4.62910768244066,314.06919276304836,,,,,,,,,,,,,,,,,,,0.0935237886643745,0.172520696696314,0.052444392641058504,0.009768056799275107,-0.002715615787049502,0.012611979486827045,-0.003389768628435057,0.1135827046653145,0.15924443900087348,0.1049411208162319,0.15808066548699615,0.06934621942337403,0.007783000806356341,-5.9034187234585235e-05,0.018559928747337143,,0.1362351739937537,0.16618400286330104,,,,,,,,,,0.1458120820980345,0.27396444854105007,0.10245843896453805,-0.019673690235919312,-0.012649248485359262,0.03198256262646765,-0.0028693894618177394,0.18545386470595168,0.2611174848018113,292.3399571408141,309.69358484967563,294.01759912711685,311.83696965567117,293.9846330948159,312.3178393708832,293.62220281205066,312.3031657904337,0.3005331948799895,-0.11590605123808015,,,33.48301611984583,,,172.17741185052512
2022-06-09 03:37:58.179990016,,,4.600133466127669,4.275824572414875,,3.4398929075788485,,-2.027045812908176,-2.562800108989678,-2.8658781583961437,,-3.51516622452598,,-0.28787919012603536,-0.3548495010313052,-0.32039027799233255,,-0.34113601142581756,,11.61771866073703,19.87992372543546,20.224996291403382,,21.969544309402735,3.040255281527573,5.11063126308703,5.3133368273355375,4.967478631923782,817.1127052215811,17.531358606655417,19.305517163376958,19.55195812126218,19.271540463587765,1654745878.17999,,,,,,,,,,,,,4.620382548354979,-2.549056444451907,-0.06316660514682647,5.276895266171676,5.056192227635422e-15,-0.06316660514682647,4.289299975971375,-2.8629120250876543,-0.06020534914523719,5.156971935861153,-6.154394949624593e-16,-0.06020534914523719,,,,,,,3.4518503241534293,-3.5194404900045053,-0.039234774719696754,4.929678693692043,-5.88681256051048e-16,-0.039234774719696754,,,,,5.276895266171676,298.8854396656737,5.156971935861153,303.72130156118584,,,4.929678693692043,315.5554939542647,,,,,,,,,,,,,,,,,,,0.09238731221911639,0.10735705580908511,0.04871794338919013,0.021379542695086094,-0.002884862799111377,0.007635176614640423,-0.00195501128801487,0.0903438255697312,0.12423115570869582,0.11640543488931213,0.13740615252492028,0.05536909415926319,0.005768804916524228,0.002797599573141926,0.013641720961382435,-0.0028111723350817816,0.11800689794607586,0.15459034078674777,,,,,,,,,,0.17667787919192546,0.2671915835301771,0.08811869535562025,-0.02066792698781124,0.004915692904468797,0.036657852999490634,-0.005463952391735723,0.1923173765713738,0.2659940790388614,291.70741237680534,309.0276164760411,293.6545995571039,311.45693931667444,293.92620358198644,312.2618993774445,293.6204555242609,312.3082720191843,0.3613377178558559,-0.10053903659234305,,,29.189170052086165,45.238718967574535,,100.74517550556048
2022-06-09 03:48:44.794998016,,,4.744373128598848,4.5354763915547025,,3.7198111324376195,,-1.8197627639155474,-2.472770825335892,-2.9443059500959694,,-3.52858310940499,,,-0.35918618042226486,-0.3326188099808061,,-0.3004644913627639,,,19.68312207293666,20.028236468330135,,21.846995009596927,3.1138591240154905,5.19018806146271,5.3117488887442885,4.948919652497376,817.2678430305125,17.459761133542067,18.76890689549546,19.384712202089553,19.169238326923743,1654746524.794998,,,,,,,,,,,,,4.764309768432491,-2.4589312074463923,-0.053598119968250466,5.361435465669156,-2.8803575008163756e-16,-0.053598119968250466,4.549240794834976,-2.941227833514496,-0.05609104153672646,5.417232963241578,2.4963098340408585e-15,-0.05609104153672646,,,,,,,3.7283991412370074,-3.532308579893289,0.020293050576292045,5.13596768486374,-4.538745152801562e-16,0.020293050576292045,,,,,5.361435465669155,297.2989323196834,5.417232963241579,302.8839442140336,,,5.135967684863739,313.45298397677055,,,,,,,,,,,,,,,,,,,0.10769849130728577,0.1975272898100874,0.07047087769422862,0.02131022338418166,-0.0016817421576917208,0.004764998499170096,-0.002433970078918431,0.07108491504686587,0.1878483294058009,0.1799440881590034,0.2703849263114706,0.08018153195338967,0.04763697189109066,-0.0065665565202770735,0.014976859224504504,-0.006344932726581316,0.12787949061865067,0.2652552732119319,,,,,,,,,,0.22758760839589948,0.4725515625172654,0.13531690512414882,-0.008468980665078561,0.014341300023013034,0.0317691754560328,-0.011700827618994368,0.18669810282046098,0.4177280380186568,291.6407353482709,308.9402311861277,293.12221867606246,310.87551976255077,293.75789365164275,312.0663899351863,293.51595879710175,312.1805108452629,0.6060160940123822,-0.07333940370665105,,,11.411599147867804,25.486198898357628,,43.00634454457963
2022-06-09 03:59:37.640003072,,,4.904057482312882,4.566098724334806,,3.6849939037631176,,,-2.289042572498639,-2.627251273657002,,-2.995388593565692,,,-0.3241365892674734,-0.30343352476342733,,-0.37910403752432975,,,19.819895785263807,20.18147407354576,,21.946739691806854,3.175525319479217,5.312540778650092,5.333427111278454,4.957364219154884,817.4128915024717,17.75461497518631,18.70788626681706,19.476475977336076,19.248934209365142,1654747177.640003,,,,,,,,,,,,,4.920454302777281,-2.276601450837684,-0.0004050622631555842,5.421603518487468,1.92159699940967e-15,-0.0004050622631555842,4.57770017091683,-2.6244455701418823,-0.02214641728650194,5.276651722963089,3.418824300042445e-15,-0.02214641728650194,,,,,,,3.699414774294647,-3.000221150364213,-0.06765968198083176,4.763086879678165,-1.5039329401721242e-15,-0.06765968198083176,,,,,5.421603518487469,294.8290908933814,5.276651722963088,299.8261188465357,,,4.7630868796781645,309.0420129113448,,,,,,,,,,,,,,,,,,,0.12735417745629476,0.1534777505427756,0.0733891389793713,0.01666532221325203,0.0037087973758918947,0.0245524492678845,-0.011701847605066573,0.1575785123563097,0.17711053348922084,0.17384995911783532,0.22557022175653652,0.10079345819196986,0.006711588273401337,0.009229770163345355,0.031214207251268892,-0.00859380256170968,0.18041673433178312,0.2501068195331708,,,,,,,,,,0.2681534852830865,0.3605948441569329,0.17270561340666293,0.057074715845220864,0.027951734818898073,0.09600622532506146,-0.010324872738727026,0.3162158655405044,0.4007269714233411,291.9409722328877,309.24260504026245,293.0710233312736,310.8050987063093,293.851659184287,312.1492744391497,293.596457184377,312.24901511422644,0.7280245162506256,-0.19788980142426024,,,25.864241625107134,52.85770211905477,,236.88058075152463
